cohort_id,party_id,loyalty,turnout
urban_workers,cambiemos_jxc,0.9364,0.65
rural,cambiemos_jxc,0.9364,0.8
middle_class,cambiemos_jxc,0.9364,0.85
public_employees,cambiemos_jxc,0.9364,0.8
young_professionals,cambiemos_jxc,0.9364,0.6
informal,cambiemos_jxc,0.9364,0.55
retirees,cambiemos_jxc,0.9364,0.85
students,cambiemos_jxc,0.9364,0.5
urban_workers,fpv_fdt_pj,0.4899,0.65
rural,fpv_fdt_pj,0.4899,0.8
middle_class,fpv_fdt_pj,0.4899,0.85
public_employees,fpv_fdt_pj,0.4899,0.8
young_professionals,fpv_fdt_pj,0.4899,0.6
informal,fpv_fdt_pj,0.4899,0.55
retirees,fpv_fdt_pj,0.4899,0.85
students,fpv_fdt_pj,0.4899,0.5
urban_workers,fit_u,-1.3664,0.65
rural,fit_u,-1.3664,0.8
middle_class,fit_u,-1.3664,0.85
public_employees,fit_u,-1.3664,0.8
young_professionals,fit_u,-1.3664,0.6
informal,fit_u,-1.3664,0.55
retirees,fit_u,-1.3664,0.85
students,fit_u,-1.3664,0.5
urban_workers,uca_otros_2015,0.2,0.65
rural,uca_otros_2015,0.2,0.8
middle_class,uca_otros_2015,0.2,0.85
public_employees,uca_otros_2015,0.2,0.8
young_professionals,uca_otros_2015,0.2,0.6
informal,uca_otros_2015,0.2,0.55
retirees,uca_otros_2015,0.2,0.85
students,uca_otros_2015,0.2,0.5
urban_workers,lla,-0.5,0.65
rural,lla,-0.5,0.8
middle_class,lla,-0.5,0.85
public_employees,lla,-0.5,0.8
young_professionals,lla,-0.5,0.6
informal,lla,-0.5,0.55
retirees,lla,-0.5,0.85
students,lla,-0.5,0.5
