cohort_id,party_id,loyalty,turnout
urban_workers,fpv_pj,0.2269,0.65
rural,fpv_pj,0.2269,0.8
middle_class,fpv_pj,0.2269,0.85
public_employees,fpv_pj,0.2269,0.8
young_professionals,fpv_pj,0.2269,0.6
informal,fpv_pj,0.2269,0.55
retirees,fpv_pj,0.2269,0.85
students,fpv_pj,0.2269,0.5
urban_workers,ucr,-1.9375,0.65
rural,ucr,-1.9375,0.8
middle_class,ucr,-1.9375,0.85
public_employees,ucr,-1.9375,0.8
young_professionals,ucr,-1.9375,0.6
informal,ucr,-1.9375,0.55
retirees,ucr,-1.9375,0.85
students,ucr,-1.9375,0.5
urban_workers,pj_disidente,0.9162,0.65
rural,pj_disidente,0.9162,0.8
middle_class,pj_disidente,0.9162,0.85
public_employees,pj_disidente,0.9162,0.8
young_professionals,pj_disidente,0.9162,0.6
informal,pj_disidente,0.9162,0.55
retirees,pj_disidente,0.9162,0.85
students,pj_disidente,0.9162,0.5
urban_workers,ari_cc,-0.2084,0.65
rural,ari_cc,-0.2084,0.8
middle_class,ari_cc,-0.2084,0.85
public_employees,ari_cc,-0.2084,0.8
young_professionals,ari_cc,-0.2084,0.6
informal,ari_cc,-0.2084,0.55
retirees,ari_cc,-0.2084,0.85
students,ari_cc,-0.2084,0.5
urban_workers,pro,-0.4,0.65
rural,pro,-0.4,0.8
middle_class,pro,-0.4,0.85
public_employees,pro,-0.4,0.8
young_professionals,pro,-0.4,0.6
informal,pro,-0.4,0.55
retirees,pro,-0.4,0.85
students,pro,-0.4,0.5
urban_workers,fit,-0.4,0.65
rural,fit,-0.4,0.8
middle_class,fit,-0.4,0.85
public_employees,fit,-0.4,0.8
young_professionals,fit,-0.4,0.6
informal,fit,-0.4,0.55
retirees,fit,-0.4,0.85
students,fit,-0.4,0.5
